Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
Gaussian,41.6,0.9961,0.1175,0.0018
Gaussian,42.63,0.9978,0.0903,0.0019
Gaussian,41.57,0.996,0.117,0.0018
Gaussian,43.03,0.9988,0.0836,0.0018
Gaussian,42.49,0.997,0.1006,0.0018
Gaussian,42.27,0.9969,0.0968,0.0018
Gaussian,42.31,0.9969,0.0941,0.0018
Gaussian,42.65,0.9973,0.0906,0.0018
Gaussian,42.4,0.9981,0.0918,0.0018
Gaussian,42.92,0.9983,0.0913,0.0018
Gaussian,43.01,0.9986,0.085,0.0018
Gaussian,42.62,0.9978,0.0907,0.0018
Gaussian,42.63,0.9978,0.091,0.0018
Gaussian,42.72,0.9984,0.0881,0.0019
Gaussian,42.39,0.9981,0.0921,0.0018
Gaussian,42.95,0.9987,0.0826,0.0019
Gaussian,42.53,0.9982,0.0867,0.0018
Gaussian,42.32,0.998,0.0936,0.0018
Gaussian,42.79,0.9983,0.0899,0.0018
Gaussian,42.62,0.9975,0.0948,0.0019
Gaussian,42.64,0.9978,0.0904,0.0019
Gaussian,42.51,0.9982,0.0871,0.0019
Gaussian,42.85,0.9984,0.0838,0.0018
Gaussian,42.9,0.9981,0.0892,0.0019
Gaussian,42.84,0.9984,0.0838,0.0019
